lambda,phi,kind,avg_effective_number_clusters,std_effective_number_clusters,avg_number_iterations,std_number_iterations,avg_average_pairwise_distance,std_average_pairwise_distance,avg_mean_opinion_distrib,std_mean_opinion_distrib,avg_variance_opinion_distrib,std_variance_opinion_distrib
0.0,0.0,weights,1.0,0.0,5.34,0.5517245689653488,2.212338658987118e-08,2.9211502097280007e-08,0.47000000070692755,0.49909917712663726,2.929597632810678e-14,5.88434428413194e-14
0.0,0.0,probabilities,1.0,0.0,5.34,0.5517245689653488,2.1680918856951327e-08,2.862727205576151e-08,0.529399999307211,0.4891171935841045,2.8135855665445168e-14,5.6513242504770694e-14
0.0,0.5,weights,1.0,0.0,7.91,1.0963119993870358,1.3684230779849673e-08,2.032701002959353e-08,0.5699999975122503,0.4950757451677795,2.5221641181298156e-14,5.5486304469192506e-14
0.0,0.5,probabilities,1.0,0.0,7.91,1.0963119993870358,1.3410546163135848e-08,1.9920469828743656e-08,0.43140000243799465,0.4851742302644239,2.4222864190448326e-14,5.3289046812012497e-14
0.0,1.0,weights,1.16616759423921,0.272269349299511,117.01,162.67209318134442,0.1066451304133194,0.15621653983038974,0.5618800006312601,0.439266371843396,0.053215915289604954,0.07795205179355344
0.0,1.0,probabilities,1.16616759423921,0.272269349299511,117.01,162.67209318134442,0.10451222780505304,0.15309220903378187,0.43935759938136504,0.4304810444065281,0.05110856504413659,0.07486515054252872
0.5,0.0,weights,1.0,0.0,49.87,6.077260896160374,8.835786681643675e-08,3.6144175217144396e-08,0.5299999950561736,0.4990991443153782,4.951072374826809e-13,2.508905400181321e-13
0.5,0.0,probabilities,1.0,0.0,49.87,6.077260896160374,8.659070947996751e-08,3.5421291713017876e-08,0.4706000048449499,0.4891171614290707,4.755009908786855e-13,2.4095527463299107e-13
0.5,0.5,weights,1.0,0.0,22.73,3.9213645584158576,6.670566845106358e-08,4.411151547055137e-08,0.4699999947078558,0.49909915363006074,1.6417785708045254e-13,1.2837981489117917e-13
0.5,0.5,probabilities,1.0,0.0,22.73,3.9213645584158576,6.53715550811189e-08,4.3229285161994897e-08,0.5294000051863013,0.4891171705574595,1.5767641393990114e-13,1.2329597422153256e-13
0.5,1.0,weights,1.1752496917170345,0.2802702639238188,101.45,118.57658917341146,0.11230035937189532,0.157526923409362,0.630660000885648,0.42058302964636546,0.05603787415223325,0.07860593377948764
0.5,1.0,probabilities,1.1752496917170345,0.2802702639238188,101.45,118.57658917341146,0.11005435218445733,0.15437638494117467,0.37195319913206487,0.41217136905343815,0.0538187743358048,0.07549313880181993
1.0,0.0,weights,4.986436891654699,0.0,0.0,0.0,0.3428177243049846,1.1102230246251565e-16,0.508277120242067,0.0,0.08793011762236878,2.7755575615628914e-17
1.0,0.0,probabilities,4.953830301589189,0.0,0.0,0.0,0.33596136981888497,1.1102230246251565e-16,0.49188842216277434,5.551115123125783e-17,0.08444808496452293,1.3877787807814457e-17
1.0,0.5,weights,1.0159479293884208,0.10521277902892745,190.7,155.83635647691457,0.009682379462255683,0.05882055772231257,0.5688999945894166,0.4903277304993375,0.00483147522280241,0.029351457746516884
1.0,0.5,probabilities,1.0159479293884208,0.10521277902892745,190.7,155.83635647691457,0.009488731873010572,0.05764414656786622,0.43247800530237157,0.4805211758893507,0.004640148803979434,0.028189140019754817
1.0,1.0,weights,1.1717269238255053,0.2624796499742455,109.18,123.8388775788928,0.11401458687334413,0.1488607286764437,0.5210799998131082,0.4389332007784275,0.05689327394626037,0.07428150178506353
1.0,1.0,probabilities,1.1717269238255053,0.2624796499742455,109.18,123.8388775788928,0.1117342951358773,0.14588351410291492,0.479341600183154,0.430154536762859,0.05464030029798844,0.07133995431437501
