"117","36576556470-62","BDO/Brussels Worldwide Services BV"
"118","52916966911-90","European Ship Suppliers Organization"
"119","17882036839-35","European Network for Smoking and Tobacco Prevention"
"120","3843982938-44","Hume Brophy"
"121","31367501249-92","EPPA SA"
"122","38091528151-27","European Respiratory Society"
"123","354946837243-73","European Tobacco Harm Reduction Advocates"
"124","458778445993-75","Marmel Consult"
"125","25901146020-53","Aalto-korkeakoulusäätiö / Aalto University"
"126","2427500988-58","British American Tobacco"
"127","27567784437-46","Tobaksindustrien, (Tobacco Manufactures Association of Denmark)"
"128","92573623984-60","Verband der deutschen Rauchtabakindustrie e.V."
"129","0138855852-93","European Smoking Tobacco Association"
"130","175323916168-03","SAS Institute"
"131","79170323734-59","Europäischer Tabakwaren-Grosshandels Verband e.V."
"132","065475744608-04","Agilent Technologies LDA UK Limited"
"133","511123241099-96","UTOPIA LAB S.R.L."
"134","92802501097-37","European Cigar Manufacturers Association"
"135","6403725595-50","The Smoke Free Partnership"
"136","62460931291-40","Imperial Brands PLC"
"137","094039644810-79","European Lung Foundation"
"138","51925911965-76","Philip Morris International Inc."
"139","734628928687-45","Fédération Interprofessionnelle de la Vape"
"140","60402754518-05","PwCIL"
"141","2680046412-48","EPIA SolarPower Europe"
"142","88290282308-75","Euroclear SA/NV"
"143","588327811384-96","Apple Inc."
"144","5265780509-97","American Chamber of Commerce to the European Union"
"145","934667112465-59","Cámara Oficial de Comercio, Industria, Servicios y Navegación de España"
"146","1849405799-88","TotalEnergies SE"
"147","378142414263-73","Global CCS Institute Ltd"
"148","98885666486-72","Conseil des Notariats de l'Union Européenne"
"149","718251720163-42","Flint Europe"
"150","107779213747-53","Nordea Bank Abp"
"151","613915845843-71","Qarnot computing"
"152","042383714852-64","Transdev Group"
"153","003708136830-08","FinMobility ry"
"154","117683115792-20","MARSH & McLENNAN COMPANIES FRANCE"
"155","16595501800-80","Standard Chartered"
"156","578630818521-25","Europa Insights"
"157","72899131664-09","International Crisis Group"
"158","71175716023-03","JT International"
"159","383742140714-91","ΔΙΑΧΕΙΡΙΣΤΗΣ ΕΘΝΙΚΟΥ ΣΥΣΤΗΜΑΤΟΣ ΦΥΣΙΚΟΥ ΑΕΡΙΟΥ Α.Ε."
"160","42528706153-39","European Federation of National Organisations working with the Homeless"
"161","568599137638-73","Associazione Italiana per il WWF"
"162","12971262634-76","European Road Transport Telematics Implementation Coordination Organisation-Intelligent Transport Systems & Services Europe"
"163","4516220482-22","Deutsche Bahn AG"
"164","0223480577-59","International Capital Market Association"
"165","0764199368-97","Bundesverband deutscher Banken e.V."
"166","76704342721-41","Orange"
"167","370882232629-37","Nexter Systems"
"168","73085531345-65","Deutscher Bauernverband"
"169","00353757573-57","Citigroup Inc."
"170","953933297-85","Association Française des Entreprises Privées / French Association of Large Companies"
"171","727635645261-62","Claudia de Castro Caldeirinha"
"172","22824156875-36","European Association of E-Pharmacies (EAEP)"
"173","880785246666-96","Conciliation Resources EU/mediatEUr"
"174","24037141789-48","Intesa Sanpaolo"
"175","47676761061-93","VERBOND VAN BELGISCHE ONDERNEMINGEN / FEDERATION DES ENTREPRISES DE BELGIQUE"
"176","582824527068-76","Suomen itsenäisyyden juhlarahasto"
"177","870817015429-80","Ørsted A/S"
"178","921351835520-23","Wirtschaftsverband Stahl- und Metallverarbeitung e.V."
"179","67128251296-84","International Federation of Organic Agriculture Movements EU Regional Group"
"180","32738888445-74","European Confederation of Independent Trade Unions"
"181","65684839099-72","ICMP - The global voice of music publishing"
"182","673091017982-82","The Swedish Trade Union Confederation"
"183","69927546143-06","Brussels Office of the Swedish Trade Unions"
"184","1771817758-48","Bundesverband der Deutschen Industrie e.V."
"185","78662404191-38","Umicore"
"186","72760517350-57","E.ON SE"
"187","371567915480-41","Bill & Melinda Gates Foundation"
"188","077142018281-86","European Entrepreneurs CEA-PME"
"189","41816938101-07","IBERDROLA"
"190","104570644466-01","Association Française de Normalisation"
"191","25805148045-87","European Network of Transmission System Operators for Electricity"
"192","43763731235-75","Mouvement des Entreprises de France"
"193","183089341543-86","European Institute of Peace"
"194","806168136501-27","Quintet Private Bank (Europe)"
"195","680226127713-85","Ecolog International FZE"
"196","51436554494-18","BlackRock"
"197","57468837764-43","EUROS / AGENCY GROUP"
"198","803135043407-92","Mazars SC"
"199","931202042525-75","ABP Pensionfund"
"200","622565933188-30","Deloitte Tax & Consulting"
"201","84606487324-44","CAISSE DES DEPOTS"
"202","823871417098-42","Airbnb Ireland UC"
"203","761886623768-75","Association Europe Finances Regulations"
"204","836939615933-24","Citadel LLC"
"205","29896393398-67","FTI Consulting Belgium"
"206","14184846326-23","La Française des Jeux"
"207","917204122840-28","MAHLE International GmbH"
"208","433904133145-65","The Chemours Company"
"209","33858106461-10","Raiffeisen Bank International AG"
"210","479468313744-50","Ibec"
"211","80788715017-29","Fertilizers Europe"
"212","461173445540-64","Aercap Holdings NV"
"213","65110063986-76","Association for Financial Markets in Europe"
"214","68208004617-79","YARA  BELGIUM S.A."
"215","53891615036-88","Bank of America Corporation"
"216","353231132587-96","ABN AMRO Bank N.V."
"217","25487567824-45","European Round Table for Industry"
"218","321342621105-20","Agora Energiewende"
"219","991321446189-28","H2Global-Stiftung"
"220","28666427835-74","Meta Platforms Ireland Limited and its various subsidiaries (f/k/a Facebook Ireland Limited)"
"221","230456715590-19","Confederazione Generale dell'Agricoltura Italiana"
"222","645340928406-53","HYDROGEN EUROPE RESEARCH"
"223","401111262-07","Edison Spa"
"224","832464619371-76","Fundación Alternativas"
"225","38526121292-88","European Federation of Pharmaceutical Industries and Associations"
"226","080682238686-06","GROUPE D'INITIATIVE ITALIENNE"
"227","475442545516-69","Candid Public Affairs GmbH"
"228","475565317526-24","Avaaz Foundation"
"229","4722660838-23","European Banking Federation"
"230","0767788931-41","Bundesverband Öffentlicher Banken Deutschlands eV"
"231","89632641000-47","European Policy Centre"
"232","132414515813-88","Institut der deutschen Wirtschaft Köln e.V."
"233","600525713796-88","Assicurazioni Generali S.p.A"
"234","27636291880-60","European Financial Services Round Table"
"235","315377145604-80","Regenerative Society Foundation"
"236","877833843416-03","Expertise France"
"237","05503341949-54","Allianz SE"
"238","009433826675-55","CMA CGM"
"239","912723313554-37","Wellcome Trust"
"240","339569615567-89","European Council on Foreign Relations"
"241","950271240628-66","Retelit Spa"
"242","595328413083-91","Association Internationale de la Mutualité"
"243","12112965774-95","ING Group"
"244","499059113403-37","Zurich Insurance Company Ltd"
"245","621243638636-02","Pandemic Action Network"
"246","302979911822-71","Appel de Genève / Geneva Call"
"247","0014082722-83","EUROCHAMBRES – Association of European Chambers of Commerce and Industry"
"248","803034333635-05","European American Chamber of Commerce New York"
"249","206201438220-85","Centre for European Policy Studies"
"250","474710916419-15","European Telecommunications Standards Institute"
"251","078294941111-90","Gavi, the Vaccine Alliance"
"252","75818824519-45","FoodDrinkEurope"
"253","0649790813-47","Association des Constructeurs Européens d'Automobiles"
"254","995377734447-25","Bolt"
"255","487726915971-30","Netflix International B.V."
"256","654132129361-28","NATIXIS"
"257","2349218828-41","Mercedes-Benz Group AG"
"258","411098519407-76","European Financial Reporting Advisory Group"
"259","419726214834-51","Deloitte & Associés"
"260","950921712127-74","Bpifrance"
"261","9171899949-17","JPMorgan Chase & Co."
"262","49307536642-11","UIRR, International Union for Road-Rail Combined Transport"
"263","83945428894-94","Victim Support Europe"
"264","94607479886-02","AMUNDI AM"
"265","26986828838-57","CANSO - Civil Air Navigation Services Organisation"
"266","336765244362-96","International Rescue Committee Inc"
"267","16311905144-06","European Digital Rights"
