lambda,phi,kind,avg_effective_number_clusters,std_effective_number_clusters,avg_number_iterations,std_number_iterations,avg_average_pairwise_distance,std_average_pairwise_distance,avg_mean_opinion_distrib,std_mean_opinion_distrib,avg_variance_opinion_distrib,std_variance_opinion_distrib
0.0,0.0,weights,1.0,0.0,5.15,0.49749371855331,1.5850038903976036e-08,2.0377593511962438e-08,0.6000000020885637,0.48989793967999873,1.9652325397179483e-14,3.937358054568141e-14
0.0,0.0,probabilities,1.0,0.0,5.15,0.49749371855331,1.5533038125246768e-08,1.997004164199634e-08,0.40199999795320757,0.48009998088639877,1.8874093311347178e-14,3.78143867559975e-14
0.0,0.5,weights,1.0,0.0,7.74,1.016070863670443,8.393709055057858e-09,1.5772673895965108e-08,0.44000000171527825,0.496386941779999,1.413175032820395e-14,5.157732895957967e-14
0.0,0.5,probabilities,1.0,0.0,7.74,1.016070863670443,8.225834872566195e-09,1.5457220416822006e-08,0.5587999983190275,0.486459202944399,1.3572133015326555e-14,4.953486673371994e-14
0.0,1.0,weights,1.1481034014217295,0.2824038080762801,129.14,206.3835274434469,0.09136697841020144,0.1559911841465231,0.628139997783424,0.43357585118577113,0.04559211772892225,0.07783960007920335
0.0,1.0,probabilities,1.1481034014217295,0.2824038080762801,129.14,206.3835274434469,0.0895396388419973,0.1528713604635922,0.37442280217224444,0.42490433416205575,0.04378666986685695,0.0747571519160669
0.5,0.0,weights,1.0,0.0,37.55,13.007978321015147,9.61046851578695e-07,9.860733301009176e-07,0.4899989592842659,0.4998988745282753,2.0542594397056176e-12,2.2907549775909564e-12
0.5,0.0,probabilities,1.0,0.0,37.55,13.007978321015147,9.418259145462433e-07,9.66351863499658e-07,0.5098010199014195,0.48990089703770984,1.9729107658931114e-12,2.200041080478335e-12
0.5,0.5,weights,1.0,0.0,18.89,5.7059530317029425,1.7581433670313085e-07,1.478037161488145e-07,0.5199999055043293,0.4995997167129699,2.1831392340002128e-13,1.6786472290225667e-13
0.5,0.5,probabilities,1.0,0.0,18.89,5.7059530317029425,1.722980499685331e-07,1.4484764182645642e-07,0.4804000926057572,0.48960772237871053,2.0966869203325763e-13,1.612172798750737e-13
0.5,1.0,weights,1.112730989629382,0.2514702329527001,160.03,338.5900310109557,0.06987711745565557,0.1417245778452781,0.6391799983302001,0.44244801552869273,0.03486867769726719,0.07072056330450398
0.5,1.0,probabilities,1.112730989629382,0.2514702329527001,160.03,338.5900310109557,0.06847957510654248,0.13889008628837257,0.363603601636404,0.433599055218119,0.03348787806045541,0.06792002899764563
1.0,0.0,weights,4.986436891654699,0.0,0.0,0.0,0.3428177243049846,1.1102230246251565e-16,0.508277120242067,0.0,0.08793011762236878,2.7755575615628914e-17
1.0,0.0,probabilities,4.953830301589189,0.0,0.0,0.0,0.33596136981888497,1.1102230246251565e-16,0.49188842216277434,5.551115123125783e-17,0.08444808496452293,1.3877787807814457e-17
1.0,0.5,weights,1.0420318069289387,0.14935310914751124,151.38,131.27366681859692,0.027200928452991647,0.09251410994463984,0.592179988877391,0.47741971706553227,0.01357322974904323,0.04616453999054826
1.0,0.5,probabilities,1.0420318069289387,0.14935310914751124,151.38,131.27366681859692,0.02665690988393185,0.09066382774574722,0.4096636109001569,0.4678713227242216,0.013035729850981117,0.04433642420692255
1.0,1.0,weights,1.2011213880160252,0.312235899530747,81.06,81.66000489835889,0.12383951921104451,0.17154196194592788,0.5585999986032241,0.42984895028843617,0.06179591494305945,0.08559943813413354
1.0,1.0,probabilities,1.2011213880160252,0.312235899530747,81.06,81.66000489835889,0.12136272882682345,0.1681111227070089,0.44257200136884045,0.42125197128266756,0.05934879671131428,0.08220970038402182
